studentid,firstname,lastname,departmentid,doj,dob,mobileno,email
1,kamal,raja,1,05-12-2021,05-12-2021,8765432190,dgiv@gmail.com
2,raja,hiris,4,05-12-2021,05-12-2021,7896543527,rakesh@gmail.com
3,Philip,Alexis,6,05-10-2018,05-10-2018,9000090098,x.x@perficient.com
4,James,Mary,1,05-10-2018,05-10-2018,9000090000,x.x@perficient.com
5,Robert,Patricia,2,05-10-2018,05-10-2018,9000090001,x.x@perficient.com
6,John,Jennifer,3,05-10-2018,05-10-2018,9000090002,x.x@perficient.com
7,Michael,Linda,4,05-10-2018,05-10-2018,9000090003,x.x@perficient.com
8,William,Elizabeth,5,05-10-2018,05-10-2018,9000090004,x.x@perficient.com
9,David,Barbara,6,05-10-2018,05-10-2018,9000090005,x.x@perficient.com
10,Richard,Susan,1,05-10-2018,05-10-2018,9000090006,x.x@perficient.com
11,Joseph,Jessica,2,05-10-2018,05-10-2018,9000090007,x.x@perficient.com
12,Thomas,Sarah,3,05-10-2018,05-10-2018,9000090008,x.x@perficient.com
13,Charles,Karen,4,05-10-2018,05-10-2018,9000090009,x.x@perficient.com
14,Christopher,Nancy,5,05-10-2018,05-10-2018,9000090010,x.x@perficient.com
15,Daniel,Lisa,6,05-10-2018,05-10-2018,9000090011,x.x@perficient.com
16,Matthew,Betty,1,05-10-2018,05-10-2018,9000090012,x.x@perficient.com
17,Anthony,Margaret,2,05-10-2018,05-10-2018,9000090013,x.x@perficient.com
18,Mark,Sandra,3,05-10-2018,05-10-2018,9000090014,x.x@perficient.com
19,Donald,Ashley,4,05-10-2018,05-10-2018,9000090015,x.x@perficient.com
20,Steven,Kimberly,5,05-10-2018,05-10-2018,9000090016,x.x@perficient.com
21,Paul,Emily,6,05-10-2018,05-10-2018,9000090017,x.x@perficient.com
22,Andrew,Donna,1,05-10-2018,05-10-2018,9000090018,x.x@perficient.com
23,Joshua,Michelle,2,05-10-2018,05-10-2018,9000090019,x.x@perficient.com
24,Kenneth,Dorothy,3,05-10-2018,05-10-2018,9000090020,x.x@perficient.com
25,Kevin,Carol,4,05-10-2018,05-10-2018,9000090021,x.x@perficient.com
26,Brian,Amanda,5,05-10-2018,05-10-2018,9000090022,x.x@perficient.com
